water,946
methyl tert-butyl ether,838
tert-butyl ethyl ether,819
heptane,560
cyclohexane,447
2-butoxyethanol,407
1-nonanol,405
cyclopentane,332
1-octanol,292
methylcyclohexane,281
"1,2-butanediol",277
dibutyl ether,276
tetrahydropyran,240
toluene,209
"1,4-dioxane",192
"2,2,4-trimethylpentane",167
hexane,161
1-butoxy-2-propanol,160
"1,3-dioxolane",148
decane,145
cyclooctane,144
"1,3-propanediol",132
tert-butanol,132
2-(2-methoxyethoxy)ethanol,124
octane,113
amylcarbinol,96
"ethanol, 2-propoxy-",73
isooctane,72
2-propanol,66
n-propyl alcohol,66
"3,6-dioxa-1-octanol",60
2-methyl-1-butanol,56
methoxybenzene,55
"1,4-butanediol",54
1-heptanol,54
3-methyl-1-butanol,52
2-ethyl-1-hexanol,48
2-methyltetrahydrofuran,45
2-ethoxyethanol,44
2-hexanol,42
2-octanol,42
2-heptanol,42
isopropyl ether,39
2-pentanol,39
nonane,38
"ether, methyl tert-pentyl",21
"1,2-ethanediol",20
dipropylene glycol monomethyl ether,18
1-pentanol,11
"1,2,3,4-tetrahydronaphthalene",9
