water,10898
heptane,3130
methyl tert-butyl ether,2321
octane,2037
toluene,1857
nonane,1477
cyclohexane,1362
methylcyclohexane,1225
dibutyl ether,1198
"2,2,4-trimethylpentane",1165
decane,1102
tert-butyl ethyl ether,1048
1-nonanol,613
1-octanol,483
hexane,417
2-butoxyethanol,407
isooctane,404
benzene,390
cyclopentane,373
n-propyl alcohol,357
exo-tetrahydrodicyclopentadiene,352
amylcarbinol,344
"1,3-propanediol",286
trans-decalin,278
cyclooctane,271
tert-butanol,267
"1,2-butanediol",264
"1,2-dimethoxyethane",252
methoxybenzene,244
3-methyl-1-butanol,235
"1,4-dioxane",231
1-heptanol,226
2-propanol,217
.alpha.-toluenol,210
tetrahydropyran,205
"1,3-dioxolane",192
2-methyl-1-propanol,189
"1,2-ethanediol",182
2-methyl-1-butanol,173
butane,163
1-butoxy-2-propanol,160
"ethanol, 2-propoxy-",151
"ether, methyl tert-pentyl",136
3-methylphenol,132
methyl alcohol,129
ethylbenzene,127
2-pentanol,126
2-(2-methoxyethoxy)ethanol,124
2-methoxyethanol,122
1-pentanol,121
bis(2-hydroxyethyl) ether,112
isobutylbenzene,100
2-methyl-2-butanol,98
2-hexanol,90
1-butanol,88
"1,2-propanediol",88
"1,3-benzenediol",70
"2,5,8-trioxanonane",69
"3,6-dioxa-1-octanol",60
"1,4-butanediol",59
2-ethyl-1-hexanol,58
isopropyl ether,56
4-methylphenol,55
2-octanol,55
tetrahydrofuran,51
2-ethoxyethanol,44
2-heptanol,42
ethane,28
2-methyltetrahydrofuran,27
ethyl tert-pentyl ether,27
tetrole,27
"3,6-dioxa-1,8-octanediol",26
ethoxybenzene,25
pentane,24
3-phenyl-1-propanol,24
butylbenzene,22
propylbenzene,22
ethanol,20
dipropylene glycol monomethyl ether,18
"2,5-dimethylfuran",18
phenol,13
methane,12
"2,3-butanediol",10
