ethanol__heptane,1664,,,,,,,,,,,,,
2-propanol__water,1278,,,,,,,,,,,,,
methanol__water,1117,,,,Water,Heptane,Octane,Decane,Methanol,Ethanol,1-propanol,1-butanol,Benzene,Toluene
diethoxymethane__water,173,,,,,,,,,,,,,
"2,5,8-trioxanonane__water",172,,,,,,,,,,,,,
"1-propanol__2,2,4-trimethylpentane",172,,,,,,,,,,,,,
n-octane__nonane,171,,,,,,,,,,,,,
ethanol__cyclohexane,170,,,,,,,,,,,,,
ethanol__isopropyl ether,169,,,,,,,,,,,,,
2-propanol__cyclohexane,165,,,,,,,,,,,,,
pentaerythritol__water,165,,,,,,,,,,,,,
1-hexanol__1-butoxy-2-propanol,160,,,,,,,,,,,,,
1-octanol__1-butoxy-2-propanol,160,,,,,,,,,,,,,
"1,4-dioxane__water",157,,,,,,,,,,,,,
cyclooctanol__water,156,,,,,,,,,,,,,
"2,2-dimethyl-1,3-propanediol__water",156,,,,,,,,,,,,,
"toluene__2,2,4-trimethylpentane",154,,,,,,,,,,,,,
"ethanol__1,2-dimethoxyethane",153,,,,,,,,,,,,,
methanol__methyl tert-butyl ether,151,,,,,,,,,,,,,
toluene__heptane,151,,,,,,,,,,,,,
"o-hydroxytoluene__phenol, 3-methyl-",150,,,,,,,,,,,,,
hexane__heptane,149,,,,,,,,,,,,,
"dibutyl ether__ethanol, 2-propoxy-",146,,,,,,,,,,,,,
"butan-1-ol__butane, 1,4-dihydroxy-",144,,,,,,,,,,,,,
ethanol__isooctane,144,,,,,,,,,,,,,
butan-1-ol__methyl tert-butyl ether,144,,,,,,,,,,,,,
2-propanol__methyl tert-butyl ether,144,,,,,,,,,,,,,
toluene__cyclohexane,142,,,,,,,,,,,,,
pentan-1-ol__methyl tert-butyl ether,140,,,,,,,,,,,,,
1-hexanol__2-butoxyethanol,140,,,,,,,,,,,,,
1-butanol__2-butoxyethanol,140,,,,,,,,,,,,,
pentylcarbinol__methyl tert-butyl ether,140,,,,,,,,,,,,,
ethanol__methyl tert-butyl ether,140,,,,,,,,,,,,,
2-butanol__2-butoxyethanol,140,,,,,,,,,,,,,
2-propanol__2-butoxyethanol,140,,,,,,,,,,,,,
propan-1-ol__methyl tert-butyl ether,140,,,,,,,,,,,,,
2-butoxyethanol__1-octanol,140,,,,,,,,,,,,,
1-propanol__2-butoxyethanol,140,,,,,,,,,,,,,
pentane__nonane,138,,,,,,,,,,,,,
benzene__methylcyclohexane,135,,,,,,,,,,,,,
methylcyclohexane__toluene,135,,,,,,,,,,,,,
"nonane__2,5,8-trioxanonane",135,,,,,,,,,,,,,
1-octanol__dibutyl ether,134,,,,,,,,,,,,,
ethanol__2-methyl-1-butanol,134,,,,,,,,,,,,,
1-butanol__methyl tert-butyl ether,133,,,,,,,,,,,,,
"(RS)-2-butanol__1,2-butanediol",132,,,,,,,,,,,,,
"1-propanol__1,3-propanediol",132,,,,,,,,,,,,,
"benzenemethanol__1,2-butanediol",132,,,,,,,,,,,,,
"1,3-butanediol__1,2-butanediol",132,,,,,,,,,,,,,
"2-propanol__1,3-propanediol",132,,,,,,,,,,,,,
2-propanol__tert-butanol,132,,,,,,,,,,,,,
2-phenylethanol__1-propanol,132,,,,,,,,,,,,,
"1,2-dimethoxyethane__nonane",132,,,,,,,,,,,,,
"2-phenylethanol__1,2-butanediol",132,,,,,,,,,,,,,
1-propanol__tert-butanol,132,,,,,,,,,,,,,
1-propanol__benzene,131,,,,,,,,,,,,,
1-pentanol__dibutyl ether,131,,,,,,,,,,,,,
ethanol__benzene,131,,,,,,,,,,,,,
"1-butanol__1,4-butanediol",130,,,,,,,,,,,,,
octane__methyl tert-butyl ether,129,,,,,,,,,,,,,
1-butanol__2-(2-methoxyethoxy)ethanol,126,,,,,,,,,,,,,
"isopropyl ether__2,2,4-trimethylpentane",126,,,,,,,,,,,,,
1-butanol__decane,126,,,,,,,,,,,,,
"ethanol, 2-ethoxy-__cyclohexane",124,,,,,,,,,,,,,
2-(2-methoxyethoxy)ethanol__water,123,,,,,,,,,,,,,
toluene__tert-butyl ethyl ether,122,,,,,,,,,,,,,
2-methoxyethanol__2-(2-methoxyethoxy)ethanol,122,,,,,,,,,,,,,
oxacyclopentane__water,120,,,,,,,,,,,,,
1-butanol__2-methyltetrahydrofuran,120,,,,,,,,,,,,,
"1-butanol__3,6-dioxa-1-octanol",120,,,,,,,,,,,,,
xylitol__water,118,,,,,,,,,,,,,
ethanol__hexane,118,,,,,,,,,,,,,
"2,5-hexanediol__water",114,,,,,,,,,,,,,
toluene__tetrahydropyran,114,,,,,,,,,,,,,
2-methoxyethanol__2-butoxyethanol,114,,,,,,,,,,,,,
benzene__tetrahydropyran,114,,,,,,,,,,,,,
pentane__n-octane,114,,,,,,,,,,,,,
1-butanol__octane,112,,,,,,,,,,,,,
toluene__octane,111,,,,,,,,,,,,,
1-heptanol__dibutyl ether,110,,,,,,,,,,,,,
"ethanol__2,5,8-trioxanonane",108,,,,,,,,,,,,,
1-butanol__tetrahydropyran,108,,,,,,,,,,,,,
"1,3-benzenediol__water",107,,,,,,,,,,,,,
pentane__heptane,107,,,,,,,,,,,,,
"1-butanol__1,2-ethanediol",107,,,,,,,,,,,,,
"1,4-dimethylbenzene__cyclohexane",107,,,,,,,,,,,,,
methanol__1-propanol,105,,,,,,,,,,,,,
methanol__2-methyl-1-propanol,105,,,,,,,,,,,,,
methanol__2-propanol,105,,,,,,,,,,,,,
2-methoxyethanol__tert-butyl ethyl ether,105,,,,,,,,,,,,,
2-(2-methoxyethoxy)ethanol__tert-butyl ethyl ether,105,,,,,,,,,,,,,
methanol__1-butanol,105,,,,,,,,,,,,,
methanol__ethylbenzene,105,,,,,,,,,,,,,
"1,2-ethanediol__1-nonanol",103,,,,,,,,,,,,,
1-propanol__cyclopentane,102,,,,,,,,,,,,,
"benzene__ethanol, 2-ethoxy-",102,,,,,,,,,,,,,
1-butanol__water,101,,,,,,,,,,,,,
tetralin__isobutylbenzene,100,,,,,,,,,,,,,
pentane__hexane,100,,,,,,,,,,,,,
heptane__methyl tert-butyl ether,99,,,,,,,,,,,,,
"1,2,3-propanetriol__ethylene glycol",99,,,,,,,,,,,,,
ethanol__2-methyl-2-butanol,98,,,,,,,,,,,,,
